ask,bid,call_put,date,delta,gamma,strike,theta,vega,vol,option_price,iv_percent,days_to_expiration
48.75,48.1,Call,2025-01-07,0.9695,0.0023,195.0,-0.0553,0.0487,0.4185,48.425,41.85,31
49.1,48.45,Call,2025-01-08,0.9546,0.0028,195.0,-0.0596,0.0644,0.4708,48.775000000000006,47.08,30
49.1,48.45,Call,2025-01-09,0.9546,0.0028,195.0,-0.0596,0.0644,0.4708,48.775000000000006,47.08,29
44.6,40.95,Call,2025-01-10,0.9428,0.0036,195.0,-0.0628,0.0728,0.4607,42.775000000000006,46.07,28
41.75,40.05,Call,2025-01-13,0.9185,0.0045,195.0,-0.1021,0.0908,0.5305,40.9,53.05,25
28.9,27.85,Call,2025-01-21,0.9477,0.0056,195.0,-0.0728,0.0508,0.3921,28.375,39.21,17
30.0,29.2,Call,2025-01-22,0.9516,0.0051,195.0,-0.0812,0.047,0.4125,29.6,41.25,16
30.0,29.1,Call,2025-01-23,0.9448,0.0055,195.0,-0.0984,0.0506,0.4426,29.55,44.26,15
29.5,27.95,Call,2025-01-24,0.936,0.0061,195.0,-0.1105,0.0545,0.4665,28.725,46.650000000000006,14
36.0,34.65,Call,2025-01-27,0.9903,0.0015,195.0,-0.0422,0.0102,0.4159,35.325,41.589999999999996,11
0.32,0.28,Put,2025-01-07,-0.0264,0.0021,195.0,-0.0274,0.0433,0.4042,0.30000000000000004,40.42,31
0.28,0.24,Put,2025-01-08,-0.0237,0.002,195.0,-0.0257,0.039,0.4017,0.26,40.17,30
0.28,0.24,Put,2025-01-09,-0.0237,0.002,195.0,-0.0257,0.039,0.4017,0.26,40.17,29
0.36,0.3,Put,2025-01-10,-0.0316,0.0027,195.0,-0.0323,0.0465,0.3922,0.32999999999999996,39.22,28
0.33,0.3,Put,2025-01-13,-0.032,0.0029,195.0,-0.0343,0.0441,0.3943,0.315,39.43,25
0.43,0.4,Put,2025-01-21,-0.051,0.0055,195.0,-0.0568,0.0503,0.3906,0.41500000000000004,39.06,17
0.41,0.38,Put,2025-01-22,-0.0478,0.0051,195.0,-0.0586,0.0466,0.4113,0.395,41.13,16
0.37,0.35,Put,2025-01-23,-0.045,0.005,195.0,-0.0582,0.043,0.4153,0.36,41.53,15
0.36,0.32,Put,2025-01-24,-0.0444,0.0051,195.0,-0.0595,0.0409,0.415,0.33999999999999997,41.5,14
0.25,0.22,Put,2025-01-27,-0.0286,0.0031,195.0,-0.0606,0.0261,0.5167,0.235,51.67,11
